,id,rank,Country,Continent,TwoLetterSymbol,ThreeLetterSymbol,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
74,0945c7b4-d129-4deb-9c5e-803aa859e387,77,Azerbaijan,Asia,az,aze,8.0,1.21,71.22,98.76,823577,0,9957,0,813354,0,266,7336115,10300205,13,1034,1,967,0,712230,79957
75,0d159598-c97e-485c-a17b-a34a82ae29bd,79,Bahrain,Asia,bh,bhr,38.81,0.22,589.52,99.46,692378,0,1529,0,688612,0,2237,10517018,1783983,3,1167,0,857,2,5895246,388108
76,79b25104-b717-4a88-a9f8-deb868ddf519,80,Sri Lanka,Asia,lk,lka,3.11,2.5,30.06,97.48,671350,0,16782,0,654446,0,122,6486117,21575842,32,1286,3,778,0,300619,31116
77,d6f78add-5ba5-4a09-9207-f7ec95db5e61,81,Kuwait,Asia,kw,kwt,15.12,0.39,192.14,99.57,662359,0,2569,0,659512,0,278,8416379,4380326,7,1705,1,586,2,1921405,151212
78,656a97f0-ebc6-49bd-8aca-ba2b36ef2e5f,83,Myanmar,Asia,mm,mmr,1.15,3.08,17.17,95.92,632391,0,19486,0,606621,0,6284,9484793,55227143,87,2834,6,353,0,171742,11451
79,d4008e11-6975-4ea6-a9d0-aa571c2604aa,84,Palestine,Asia,ps,pse,11.61,0.87,57.59,99.06,620816,0,5404,0,614962,0,450,3078533,5345541,9,989,2,1011,17,575907,116137
80,f2bd16b1-2a21-42c3-ba7a-62e372619ba6,86,Cyprus,Asia,cy,cyp,49.26,0.2,787.99,98.29,602662,0,1200,0,592342,0,9120,9640118,1223387,2,1019,0,981,60,7879860,492618
81,d7b5b1f3-7613-497f-ad47-659c3e7b274f,93,Qatar,Asia,qa,qat,15.85,0.14,136.06,99.51,472226,0,684,0,469917,0,1625,4054544,2979915,6,4357,1,230,2,1360624,158470
82,f281c4d9-4a39-44d4-baa9-8deb858d73cb,95,Armenia,Asia,am,arm,14.99,1.96,108.69,97.54,445397,0,8709,0,434441,0,2247,3230307,2971966,7,341,1,2930,0,1086926,149866
83,0c7482a0-3655-48e5-a002-ea7e84e9a5e0,97,Oman,Asia,om,omn,7.49,1.07,469.57,96.46,398775,0,4260,0,384669,0,9846,25000000,5323993,13,1250,0,800,2,4695724,74901
84,eb9b3fbc-6738-4a35-a943-42a0e05ea149,230,China,Asia,cn,chn,0.02,1.96,11.05,94.92,266359,1346,5226,0,252820,277,8313,160000000,1448471400,5438,277166,9,4,27,110461,184
85,c0e96d03-21df-42c0-a932-ec088d305cba,108,Uzbekistan,Asia,uz,uzb,0.71,0.67,4.01,98.62,244864,0,1637,0,241486,0,1741,1377915,34382084,140,21003,25,48,23,40077,7122
86,c784559e-003a-490b-9753-4b23ee5fdb39,109,Brunei,Asia,bn,brn,54.11,0.09,161.14,92.16,241044,0,225,0,222140,0,18679,717784,445431,2,1980,1,505,3,1611437,541148
87,a07df09d-690a-4ca7-8d76-0b01a071ea51,112,Laos,Asia,la,lao,2.89,0.35,16.48,0.0,216303,8,758,0,215545,0,0,1233207,7481023,35,9869,6,101,0,164845,28914
88,a173c7c0-6c68-4505-a21e-303b977f4432,114,Kyrgyzstan,Asia,kg,kgz,3.07,1.45,28.35,95.13,206464,0,2991,0,196406,0,7067,1907195,6728271,33,2250,4,445,131,283460,30686
89,a22a19dd-cd37-4b17-bb78-214d939dcba6,115,Afghanistan,Asia,af,afg,0.5,3.84,2.8,88.8,203942,0,7829,0,181093,0,15020,1140999,40754388,200,5206,36,192,1124,27997,5004
90,3aae6f72-2cd7-423d-9e01-c89c936d9d98,118,Maldives,Asia,mv,mdv,34.28,0.17,409.22,88.26,185454,0,309,0,163687,0,21458,2213831,540985,3,1751,0,571,25,4092223,342808
91,f01f73fb-71ea-4624-b07e-e86ac91bc8aa,124,Cambodia,Asia,kh,khm,0.8,2.21,18.01,97.78,137996,0,3056,0,134934,0,6,3091420,17168639,124,5618,6,178,0,180062,8038
92,bf5fe94d-de57-4ff8-b174-c1238e097c6c,147,Bhutan,Asia,bt,btn,7.92,0.03,292.37,98.61,62430,0,21,0,61564,0,845,2303734,787941,13,37521,0,27,0,2923739,79232
93,86c418c9-9bad-4c05-90a0-31f87650ee52,148,Syria,Asia,sy,syr,0.3,5.51,0.76,94.48,57372,0,3163,0,54203,0,6,146269,19364809,338,6122,132,163,0,7553,2963
94,3bf85af0-0824-456e-b402-e67770e0d954,172,Timor-Leste,Asia,tl,tls,1.7,0.59,20.34,99.11,23310,0,138,0,23102,0,70,278529,1369429,59,9923,5,101,0,203391,17022
95,ade1dd49-6935-41ea-9387-173c6fabbdf2,183,Tajikistan,Asia,tj,tjk,0.18,0.7,0.0,97.07,17786,0,125,0,17264,0,397,0,9957464,560,79660,0,13,0,0,1786
96,7571007a-00f6-4500-bb60-f4fefbd4e388,196,Yemen,Asia,ye,yem,0.04,18.07,1.06,76.38,11945,0,2159,0,9124,0,662,329592,31154867,2608,14430,95,69,23,10579,383
97,4f5de98a-49e3-4394-9534-b4b0c800ff96,222,Macao,Asia,mo,mac,0.12,0.75,1.18,98.99,795,0,6,0,787,0,2,7850,667490,840,111248,85,9,0,11760,1191
